,precision,recall,f1-score,support
Prolongatio sample,0.6666666666666666,0.5,0.5714285714285714,40.0
syllable repetition,0.5,0.08333333333333333,0.14285714285714285,36.0
word repetition,0.7103448275862069,0.9809523809523809,0.824,105.0
accuracy,0.6961325966850829,0.6961325966850829,0.6961325966850829,0.6961325966850829
macro avg,0.6256704980842911,0.5214285714285715,0.5127619047619048,181.0
weighted avg,0.6588556550454053,0.6961325966850829,0.632707182320442,181.0
