feature,importance
mfcc_stat_1,0.060844161879301056
mfcc_stat_39,0.02821353757245379
mfcc_stat_7,0.020615981649275483
mfcc_stat_3,0.017967709532966388
mfcc_stat_11,0.016388836418576868
mfcc_stat_24,0.01584019727138223
mfcc_stat_31,0.014438499436067372
mfcc_stat_81,0.014384438138179243
mfcc_stat_65,0.014345089564924087
mfcc_stat_87,0.0141622041133733
mfcc_stat_13,0.014040033606037417
mfcc_stat_52,0.013586645159570022
mfcc_stat_80,0.012965790637884594
mfcc_stat_50,0.012637057883825114
mfcc_stat_79,0.01259090732044656
mfcc_stat_99,0.01245220263618417
mfcc_stat_0,0.012214413503211648
mfcc_stat_86,0.0109940227675787
mfcc_stat_72,0.010834688972979274
mfcc_stat_85,0.010757922606653404
mfcc_stat_44,0.010591982450935495
mfcc_stat_76,0.010574672818098506
mfcc_stat_30,0.010345003696442319
mfcc_stat_78,0.010342796481937151
mfcc_stat_16,0.010096355465467303
mfcc_stat_90,0.009976153979688372
mfcc_stat_20,0.009792859828129628
mfcc_stat_67,0.00977997510889832
mfcc_stat_82,0.009734227357573497
mfcc_stat_89,0.009708820669706419
mfcc_stat_4,0.009624991696528515
mfcc_stat_98,0.009477850527966097
mfcc_stat_14,0.009442830676951763
mfcc_stat_9,0.009409437107650277
mfcc_stat_23,0.009404067011070428
mfcc_stat_97,0.009388784732944072
mfcc_stat_27,0.009325047974628221
mfcc_stat_53,0.009323256674146874
mfcc_stat_54,0.009243462024068047
mfcc_stat_73,0.00921624846792136
mfcc_stat_2,0.009180052453615755
mfcc_stat_75,0.009106094603240154
mfcc_stat_49,0.009104789530079331
mfcc_stat_66,0.00903146824032885
mfcc_stat_5,0.008986693952793307
mfcc_stat_36,0.008899763491775287
mfcc_stat_84,0.008776999645610892
mfcc_stat_41,0.008687492624038983
mfcc_stat_88,0.00867978277112282
mfcc_stat_93,0.008636361121715409
mfcc_stat_63,0.00847354383657747
mfcc_stat_74,0.0084225705264981
mfcc_stat_42,0.008410945413365753
mfcc_stat_68,0.00836502958422905
mfcc_stat_95,0.008320746189509863
mfcc_stat_57,0.008267053526490894
mfcc_stat_51,0.008169352696086951
mfcc_stat_92,0.008132263924455697
mfcc_stat_40,0.008075694977731663
mfcc_stat_70,0.008056258329167336
mfcc_stat_61,0.008039693165576603
mfcc_stat_94,0.008025225875989106
mfcc_stat_48,0.007920371488752903
mfcc_stat_91,0.007871991380695123
mfcc_stat_47,0.007863065970813828
mfcc_stat_58,0.00782059532366373
mfcc_stat_10,0.007725192125393759
mfcc_stat_15,0.007653973719334276
mfcc_stat_29,0.007560214810988952
mfcc_stat_33,0.007481980044027821
mfcc_stat_19,0.007449383134626233
mfcc_stat_8,0.007442220207531087
mfcc_stat_55,0.007435062083876153
mfcc_stat_101,0.007387486740340296
mfcc_stat_43,0.007355638826971977
mfcc_stat_37,0.007353624207780864
mfcc_stat_34,0.007338431892004345
mfcc_stat_21,0.007262211260043594
mfcc_stat_28,0.0070021209247556815
mfcc_stat_38,0.007000916450929386
mfcc_stat_60,0.006946901874992187
mfcc_stat_100,0.0069450971954504205
mfcc_stat_12,0.00692916899385279
mfcc_stat_83,0.006918631879726637
mfcc_stat_77,0.006858160365904589
mfcc_stat_32,0.006775742380498203
mfcc_stat_35,0.006773520998353455
mfcc_stat_45,0.006752560328729578
mfcc_stat_18,0.006751084307389704
mfcc_stat_64,0.0066997134673900316
mfcc_stat_6,0.006579150890752881
mfcc_stat_56,0.0065441553660722076
mfcc_stat_22,0.00647312573391223
mfcc_stat_96,0.006392369723879177
mfcc_stat_46,0.006374921799400019
mfcc_stat_17,0.00626020317479645
mfcc_stat_62,0.006103347243782831
mfcc_stat_26,0.005994193916600322
mfcc_stat_59,0.005851054902084571
mfcc_stat_25,0.00584503114248897
mfcc_stat_69,0.005712126458932047
mfcc_stat_71,0.0056742153608579935
mfcc_stat_102,0.0
mfcc_stat_103,0.0
mfcc_stat_104,0.0
mfcc_stat_105,0.0
mfcc_stat_106,0.0
