Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%)
RandomForest,63.20441988950276,55.862379104843626,43.690618251593854,42.28391622841924
MLP,65.41436464088399,57.55707136668312,55.327406205454984,55.924772259271926
SVM,67.40331491712708,59.885122264680305,56.11517038346307,57.24538550745058
Ensemble,65.30386740331492,56.572085912263724,53.17591955396834,53.875317903254036
