,precision,recall,f1-score,support
Prolongatio sample,0.7142857142857143,0.25,0.37037037037037035,40.0
syllable repetition,0.5,0.05555555555555555,0.1,36.0
word repetition,0.6319018404907976,0.9809523809523809,0.7686567164179104,105.0
accuracy,0.6353591160220995,0.6353591160220995,0.6353591160220995,0.6353591160220995
macro avg,0.6153958515921706,0.4288359788359788,0.41300902892942687,181.0
weighted avg,0.623873601231836,0.6353591160220995,0.5476451383353338,181.0
