,precision,recall,f1-score,support
Prolongatio sample,0.7083333333333334,0.425,0.53125,40.0
syllable repetition,0.625,0.1388888888888889,0.22727272727272727,36.0
word repetition,0.697986577181208,0.9904761904761905,0.8188976377952756,105.0
accuracy,0.6961325966850829,0.6961325966850829,0.6961325966850829,0.6961325966850829
macro avg,0.6771066368381805,0.5181216931216931,0.525806788356001,181.0
weighted avg,0.685756485841769,0.6961325966850829,0.6376578461343764,181.0
