feature,importance
mfcc_stat_1,0.05208817584116444
mfcc_stat_39,0.02728096192651135
mfcc_stat_7,0.023041991930103985
mfcc_stat_87,0.015165002605708881
mfcc_stat_65,0.015115806636430125
mfcc_stat_86,0.015041515173793294
mfcc_stat_50,0.014661903248613635
mfcc_stat_3,0.014488996720589066
mfcc_stat_0,0.01425710600935276
mfcc_stat_24,0.013867859606159412
mfcc_stat_11,0.012994197051813422
mfcc_stat_31,0.0129869674872179
mfcc_stat_9,0.01278131395939403
mfcc_stat_13,0.012212951096186468
mfcc_stat_52,0.012034083920585975
mfcc_stat_81,0.011912565194279225
mfcc_stat_2,0.011428171326468211
mfcc_stat_14,0.01139934459388186
mfcc_stat_98,0.011194051935146198
mfcc_stat_30,0.010966736936676814
mfcc_stat_89,0.010807909731135218
mfcc_stat_67,0.010567436104557732
mfcc_stat_99,0.010436361553919492
mfcc_stat_75,0.010313011899142346
mfcc_stat_79,0.010271541248764986
mfcc_stat_82,0.01027137720662197
mfcc_stat_80,0.01004781877399976
mfcc_stat_78,0.009896507306105227
mfcc_stat_20,0.009883576066494917
mfcc_stat_85,0.0098727716364949
mfcc_stat_23,0.009740246264690472
mfcc_stat_84,0.00971457808325025
mfcc_stat_92,0.00970766061619845
mfcc_stat_44,0.009578359896496712
mfcc_stat_90,0.009407640867959977
mfcc_stat_68,0.009366454655791376
mfcc_stat_41,0.009348840053663708
mfcc_stat_16,0.009318916493289378
mfcc_stat_29,0.009277242688483069
mfcc_stat_93,0.00918769858202963
mfcc_stat_76,0.00904258177285625
mfcc_stat_66,0.009024995228932698
mfcc_stat_53,0.008975176574811618
mfcc_stat_42,0.008960347233813693
mfcc_stat_10,0.008887534242422713
mfcc_stat_47,0.008802667531070103
mfcc_stat_27,0.008774351101793929
mfcc_stat_88,0.00868615689215826
mfcc_stat_15,0.008683436024521308
mfcc_stat_5,0.008661331349020484
mfcc_stat_51,0.008657349358739908
mfcc_stat_36,0.008648407991731936
mfcc_stat_49,0.00864572908302082
mfcc_stat_40,0.008599901349659224
mfcc_stat_18,0.008527397066567981
mfcc_stat_4,0.008473485920685298
mfcc_stat_12,0.008444998759222144
mfcc_stat_94,0.00842926916865345
mfcc_stat_73,0.008362056560359085
mfcc_stat_72,0.008331041338565616
mfcc_stat_61,0.008196219773162905
mfcc_stat_22,0.008184337206565183
mfcc_stat_83,0.00816763555898509
mfcc_stat_33,0.008150409198634245
mfcc_stat_32,0.008115494450729531
mfcc_stat_62,0.008100600880264625
mfcc_stat_55,0.008045834273292899
mfcc_stat_70,0.007756976212472541
mfcc_stat_95,0.007699083911051174
mfcc_stat_8,0.0076202461783414
mfcc_stat_37,0.0075920324436990205
mfcc_stat_64,0.007587384963487884
mfcc_stat_45,0.007585246124726362
mfcc_stat_25,0.007575972759402306
mfcc_stat_97,0.007569708203610061
mfcc_stat_100,0.007441705943008167
mfcc_stat_35,0.007350899693756859
mfcc_stat_74,0.007350005143637092
mfcc_stat_48,0.007338789816296135
mfcc_stat_43,0.0073375316680849125
mfcc_stat_60,0.0073336724497030685
mfcc_stat_63,0.0073229110680080155
mfcc_stat_38,0.007308364859090881
mfcc_stat_101,0.007287139589290412
mfcc_stat_34,0.007266423697398311
mfcc_stat_58,0.007226069336802512
mfcc_stat_17,0.007212823512064438
mfcc_stat_46,0.007208297154841213
mfcc_stat_77,0.0070816180512346906
mfcc_stat_59,0.006984873155590526
mfcc_stat_19,0.006861551628653381
mfcc_stat_54,0.006755263062334399
mfcc_stat_69,0.006726409228188369
mfcc_stat_57,0.006718651434991889
mfcc_stat_6,0.006712161195713262
mfcc_stat_21,0.006688806059308842
mfcc_stat_28,0.006615356185623926
mfcc_stat_26,0.0065062597624594865
mfcc_stat_96,0.0062484964748785584
mfcc_stat_91,0.006172550504633469
mfcc_stat_56,0.0058879171434617975
mfcc_stat_71,0.00555440256474706
mfcc_stat_102,0.0
mfcc_stat_103,0.0
mfcc_stat_104,0.0
mfcc_stat_105,0.0
mfcc_stat_106,0.0
