model,class,auc
RF,Prolongatio sample,0.8434397163120568
RF,syllable repetition,0.7156130268199233
RF,word repetition,0.8704260651629072
MLP,Prolongatio sample,0.8445035460992908
MLP,syllable repetition,0.7039272030651341
MLP,word repetition,0.8775689223057644
SVM,Prolongatio sample,0.8156914893617022
SVM,syllable repetition,0.6866858237547895
SVM,word repetition,0.8021303258145364
