,precision,recall,f1-score,support
Prolongatio sample,0.5555555555555556,0.5,0.5263157894736842,40.0
syllable repetition,0.4827586206896552,0.3888888888888889,0.4307692307692308,36.0
word repetition,0.7844827586206896,0.8666666666666667,0.8235294117647058,105.0
accuracy,0.6906077348066298,0.6906077348066298,0.6906077348066298,0.6906077348066298
macro avg,0.6075989782886335,0.5851851851851851,0.5935381440025402,181.0
weighted avg,0.6738796807857582,0.6906077348066298,0.6797287962537779,181.0
