,precision,recall,f1-score,support
Prolongatio sample,0.7,0.35,0.4666666666666667,40.0
syllable repetition,0.36363636363636365,0.1111111111111111,0.1702127659574468,36.0
word repetition,0.6733333333333333,0.9619047619047619,0.792156862745098,105.0
accuracy,0.6574585635359116,0.6574585635359116,0.6574585635359116,0.6574585635359116
macro avg,0.5789898989898989,0.47433862433862434,0.47634543178973715,181.0
weighted avg,0.617629331993973,0.6574585635359116,0.5965237393887848,181.0
