dataset,model,accuracy,test_loss
before,RandomForest,63.53591160220995,0.8607916546494384
before,MLP,67.95580110497238,1.7764751011578308
before,SVM,69.61325966850829,0.7678777112962466
after,RandomForest,65.74585635359117,0.8522499830310881
after,MLP,69.06077348066299,1.8513111489493788
after,SVM,69.61325966850829,0.7594983935425883
