,precision,recall,f1-score,support
Prolongatio sample,0.6333333333333333,0.475,0.5428571428571428,40.0
syllable repetition,0.4444444444444444,0.3333333333333333,0.38095238095238093,36.0
word repetition,0.7419354838709677,0.8761904761904762,0.8034934497816594,105.0
accuracy,0.6795580110497238,0.6795580110497238,0.6795580110497238,0.6795580110497238
macro avg,0.6065710872162485,0.5615079365079365,0.5757676578637277,181.0
weighted avg,0.6587655201093091,0.6795580110497238,0.6618529483737329,181.0
