feature,importance
mfcc_stat_1,0.12654801457657586
mfcc_stat_7,0.0407060158987223
mfcc_stat_39,0.03970940088942411
mfcc_stat_24,0.031955612139286285
mfcc_stat_3,0.02992211428691507
mfcc_stat_0,0.02422823633352404
mfcc_stat_2,0.022116121126743184
mfcc_stat_13,0.021593016248029687
mfcc_stat_81,0.020497111159159854
mfcc_stat_80,0.018569415748594026
mfcc_stat_40,0.015773017101595493
mfcc_stat_5,0.015743300165426355
mfcc_stat_68,0.015622533701335543
mfcc_stat_66,0.01542414132549813
mfcc_stat_87,0.01541327629099698
mfcc_stat_9,0.014050348359827505
mfcc_stat_11,0.014041839621990562
mfcc_stat_52,0.01365515298219206
mfcc_stat_31,0.012664275262745507
mfcc_stat_78,0.012128751437718627
mfcc_stat_23,0.012080738715958337
mfcc_stat_86,0.012000847596548868
mfcc_stat_92,0.011624023197968514
mfcc_stat_30,0.011286086206671823
mfcc_stat_85,0.011208623817766132
mfcc_stat_65,0.011069540227703237
mfcc_stat_14,0.010386578674377929
mfcc_stat_61,0.009397105314536877
mfcc_stat_99,0.009361850620121853
mfcc_stat_16,0.009339631263691013
mfcc_stat_33,0.009166755194699741
mfcc_stat_93,0.009057146029811619
mfcc_stat_75,0.008708717537530325
mfcc_stat_50,0.008623820225474461
mfcc_stat_60,0.008617067204956457
mfcc_stat_76,0.008501570167100077
mfcc_stat_58,0.0084387998630242
mfcc_stat_90,0.008180518285131349
mfcc_stat_34,0.008095700825019547
mfcc_stat_82,0.008012156413988926
mfcc_stat_84,0.008008394255518029
mfcc_stat_19,0.007894471234043434
mfcc_stat_43,0.007728744443808147
mfcc_stat_35,0.007644920068792376
mfcc_stat_91,0.007491912157723502
mfcc_stat_89,0.007485215764689957
mfcc_stat_54,0.007428837749580188
mfcc_stat_45,0.007379812720678652
mfcc_stat_94,0.00723688199820751
mfcc_stat_42,0.007188253236756619
mfcc_stat_51,0.00705083669813921
mfcc_stat_69,0.0070092204661444295
mfcc_stat_15,0.006996905105794753
mfcc_stat_98,0.006973791324767259
mfcc_stat_20,0.006833549665066144
mfcc_stat_28,0.00680597610129358
mfcc_stat_41,0.00658230772875964
mfcc_stat_56,0.006418944484628152
mfcc_stat_10,0.006308016842921721
mfcc_stat_44,0.006290987522705552
mfcc_stat_57,0.006075398109945836
mfcc_stat_22,0.006048517215024168
mfcc_stat_29,0.006004271059601929
mfcc_stat_17,0.005729496522735511
mfcc_stat_74,0.005570830902627955
mfcc_stat_63,0.005454978651170803
mfcc_stat_95,0.005437234366764939
mfcc_stat_8,0.005435730777030877
mfcc_stat_71,0.00538695495988331
mfcc_stat_70,0.005367350425024174
mfcc_stat_97,0.005222912900553133
mfcc_stat_49,0.005154261505277467
mfcc_stat_79,0.004698972273315996
mfcc_stat_37,0.004674417038291136
mfcc_stat_73,0.004597137430835175
mfcc_stat_21,0.0045186508831800915
mfcc_stat_4,0.00429417970176033
mfcc_stat_46,0.0038534458112992388
mfcc_stat_101,0.003774478241660594
mfcc_stat_18,0.0034401901115446703
mfcc_stat_53,0.00343343223036709
mfcc_stat_96,0.003281340421773892
mfcc_stat_48,0.003128097568226299
mfcc_stat_25,0.0030813872492467123
mfcc_stat_77,0.002979553225033148
mfcc_stat_6,0.0029375826655072142
mfcc_stat_12,0.0025418882200103987
mfcc_stat_72,0.002242836232980562
mfcc_stat_32,0.00221217524196902
mfcc_stat_36,0.002062441921571599
mfcc_stat_47,0.002048464259652791
mfcc_stat_100,0.0019757195993426
mfcc_stat_38,0.0019404087694677686
mfcc_stat_26,0.0019389787729539969
mfcc_stat_62,0.001443790577415181
mfcc_stat_27,0.0014071929218202003
mfcc_stat_55,0.001239759961571129
mfcc_stat_67,0.0009938906021098046
mfcc_stat_64,0.0006835171072788205
mfcc_stat_88,0.0006711309480433653
mfcc_stat_83,0.000582923974427658
mfcc_stat_59,0.00015712703330217858
mfcc_stat_102,0.0
mfcc_stat_103,0.0
mfcc_stat_104,0.0
mfcc_stat_105,0.0
mfcc_stat_106,0.0
